date,NIFTY NEXT 50
2019-04-15,38497.08
2019-04-16,38704.47
2019-04-18,38537.84
2019-04-22,37843.14
2019-04-23,37799.23
2019-04-24,38047.39
2019-04-25,37853.58
2019-04-26,37863.25
2019-04-30,37699.44
2019-05-02,37508.03
2019-05-03,37343.48
2019-05-06,36889.40
2019-05-07,36641.91
2019-05-08,36217.93
2019-05-09,36115.98
2019-05-10,36020.22
2019-05-13,35363.31
2019-05-14,35438.43
2019-05-15,35283.08
2019-05-16,35268.52
2019-05-17,35569.36
2019-05-20,36728.81
2019-05-21,36427.22
2019-05-22,36412.28
2019-05-23,36546.64
2019-05-24,37395.01
2019-05-27,37594.71
2019-05-28,37736.96
2019-05-29,37466.54
2019-05-30,37499.23
2019-05-31,37758.26
2019-06-03,38169.94
2019-06-04,37941.10
2019-06-06,37170.55
2019-06-07,37182.25
2019-06-10,37282.29
2019-06-11,37495.17
2019-06-12,37199.25
2019-06-13,37177.40
2019-06-14,36788.84
2019-06-17,36217.57
2019-06-18,36261.94
2019-06-19,36062.41
2019-06-20,36670.55
2019-06-21,36572.84
2019-06-24,36619.08
2019-06-25,36711.72
2019-06-26,37007.65
2019-06-27,37191.08
2019-06-28,37124.74
2019-07-01,37313.85
2019-07-02,37437.58
2019-07-03,37630.52
2019-07-04,37710.38
2019-07-05,37188.81
2019-07-08,36418.12
2019-07-09,36614.60
2019-07-10,36324.41
2019-07-11,36594.81
2019-07-12,36664.86
2019-07-15,36817.95
2019-07-16,37183.71
2019-07-17,37269.15
2019-07-18,36874.88
2019-07-19,36256.21
2019-07-22,36289.55
2019-07-23,36155.51
2019-07-24,35575.15
2019-07-25,35808.93
2019-07-26,36151.71
2019-07-29,35677.88
2019-07-30,35188.48
2019-07-31,35508.48
2019-08-01,35048.24
2019-08-02,35154.88
2019-08-05,34869.54
2019-08-06,35205.59
2019-08-07,35048.70
2019-08-08,35499.06
2019-08-09,35752.48
2019-08-13,34935.60
2019-08-14,35329.94
2019-08-16,35446.64
2019-08-19,35456.60
2019-08-20,35186.14
2019-08-21,34774.82
2019-08-22,34306.55
2019-08-23,34590.72
2019-08-26,35230.05
2019-08-27,35697.77
2019-08-28,35528.37
2019-08-29,35548.54
2019-08-30,36037.31
2019-09-03,35258.45
2019-09-04,35212.31
2019-09-05,35395.87
2019-09-06,35558.13
2019-09-09,35676.95
2019-09-11,35915.35
2019-09-12,35890.51
2019-09-13,36129.57
2019-09-16,36090.14
2019-09-17,35484.90
2019-09-18,35706.03
2019-09-19,35394.97
2019-09-20,37422.30
2019-09-23,38112.53
2019-09-24,38153.74
2019-09-25,37528.30
2019-09-26,37974.13
2019-09-27,37983.85
2019-09-30,37577.22
2019-10-01,37207.94
2019-10-03,36898.45
2019-10-04,36432.03
2019-10-07,35904.23
2019-10-09,36402.95
2019-10-10,36174.32
2019-10-11,36318.70
2019-10-14,36582.24
2019-10-15,36881.24
2019-10-16,37195.25
2019-10-17,37723.70
2019-10-18,38251.51
2019-10-22,38456.10
2019-10-23,38424.01
2019-10-24,38294.01
2019-10-25,38177.00
2019-10-27,38400.46
2019-10-29,38843.35
2019-10-30,39101.20
2019-10-31,39222.53
2019-11-01,39201.29
2019-11-04,39135.36
2019-11-05,38856.04
2019-11-06,38981.58
2019-11-07,39214.92
2019-11-08,38806.20
2019-11-11,38893.54
2019-11-13,38689.01
2019-11-14,38524.68
2019-11-15,38551.99
2019-11-18,38507.02
2019-11-19,38397.04
2019-11-20,38635.07
2019-11-21,38483.37
2019-11-22,38382.98
2019-11-25,38908.62
2019-11-26,38663.17
2019-11-27,38943.09
2019-11-28,39349.28
2019-11-29,39049.50
2019-12-02,39039.90
2019-12-03,38757.78
2019-12-04,38800.14
2019-12-05,38501.07
2019-12-06,38102.32
2019-12-09,37970.97
2019-12-10,37568.30
2019-12-11,37746.91
2019-12-12,38019.93
2019-12-13,38406.92
2019-12-16,38186.07
2019-12-17,38345.40
2019-12-18,38491.02
2019-12-19,38637.55
2019-12-20,38857.66
2019-12-23,38843.35
2019-12-24,38825.71
2019-12-26,38685.32
2019-12-27,38954.17
2019-12-30,38965.24
2019-12-31,38722.69
2020-01-01,38703.26
2020-01-02,39034.34
2020-01-03,38957.12
2020-01-06,38158.17
2020-01-07,38440.43
2020-01-08,38457.27
2020-01-09,38964.46
2020-01-10,39062.62
2020-01-13,39373.78
2020-01-14,39458.22
2020-01-15,39612.35
2020-01-16,39640.62
2020-01-17,39717.60
2020-01-20,39334.03
2020-01-21,39146.45
2020-01-22,39113.12
2020-01-23,39530.77
2020-01-24,39880.23
2020-01-27,39616.23
2020-01-28,39517.73
2020-01-29,39732.03
2020-01-30,39031.09
2020-01-31,38704.99
2020-02-01,37399.84
2020-02-03,37668.55
2020-02-04,38458.92
2020-02-05,39044.60
2020-02-06,39509.27
2020-02-07,39748.86
2020-02-10,39621.98
2020-02-11,39485.98
2020-02-12,39491.03
2020-02-13,39435.60
2020-02-14,39015.97
2020-02-17,38578.20
2020-02-18,38453.78
2020-02-19,39235.45
2020-02-20,39288.91
2020-02-24,38479.58
2020-02-25,38201.52
2020-02-26,37662.07
2020-02-27,37571.77
2020-02-28,36307.27
2020-03-02,36203.04
2020-03-03,36928.79
2020-03-04,36641.96
2020-03-05,36861.93
2020-03-06,36058.69
2020-03-09,34478.18
2020-03-11,34226.02
2020-03-12,31246.19
2020-03-13,32139.56
2020-03-16,30445.75
2020-03-17,30197.10
2020-03-18,28717.07
2020-03-19,27778.61
2020-03-20,28774.44
2020-03-23,25431.11
2020-03-24,25699.41
2020-03-25,26623.19
2020-03-26,28090.66
2020-03-27,28057.92
2020-03-30,27826.33
2020-03-31,28998.12
2020-04-01,28377.76
2020-04-03,28019.67
2020-04-07,29808.90
2020-04-08,30409.56
2020-04-09,31452.36
2020-04-13,31405.22
2020-04-15,31661.53
2020-04-16,31897.38
2020-04-17,32296.92
2020-04-20,32134.39
2020-04-21,31622.68
2020-04-22,32018.13
2020-04-23,32103.15
2020-04-24,31541.58
2020-04-27,32180.90
2020-04-28,32096.72
2020-04-29,32448.49
2020-04-30,33105.94
2020-05-04,31740.95
2020-05-05,31304.90
2020-05-06,31604.74
2020-05-07,31261.45
2020-05-08,31535.65
2020-05-11,31867.98
2020-05-12,31817.49
2020-05-13,32208.26
2020-05-14,32000.87
2020-05-15,31823.99
2020-05-18,30821.11
2020-05-19,30998.12
2020-05-20,31596.00
2020-05-21,31980.58
2020-05-22,31635.13
2020-05-26,31676.63
2020-05-27,31713.34
2020-05-28,32273.72
2020-05-29,33054.60
2020-06-01,33581.26
2020-06-02,33800.40
2020-06-03,33999.92
2020-06-04,34150.54
2020-06-05,34796.26
2020-06-08,34802.68
2020-06-09,34573.47
2020-06-10,34561.28
2020-06-11,34032.38
2020-06-12,34375.79
2020-06-15,34066.01
2020-06-16,34162.37
2020-06-17,34190.33
2020-06-18,34286.32
2020-06-19,34661.93
2020-06-22,35343.80
2020-06-23,35983.47
2020-06-24,35603.06
2020-06-25,35629.27
2020-06-26,35688.99
2020-06-29,35393.58
2020-06-30,35371.83
2020-07-01,35388.03
2020-07-02,35686.71
2020-07-03,35960.07
2020-07-06,36123.15
2020-07-07,36296.13
2020-07-08,36170.86
2020-07-09,36134.06
2020-07-10,36051.54
2020-07-13,36142.63
2020-07-14,35787.83
2020-07-15,35618.09
2020-07-16,35728.59
2020-07-17,36314.78
2020-07-20,36521.19
2020-07-21,36584.34
2020-07-22,36385.08
2020-07-23,36681.66
2020-07-24,36266.25
2020-07-27,35982.29
2020-07-28,36223.81
2020-07-29,36393.58
2020-07-30,36575.84
2020-07-31,36983.27
2020-08-03,36808.34
2020-08-04,37044.47
2020-08-05,37012.89
2020-08-06,37274.79
2020-08-07,37365.73
2020-08-10,37910.55
2020-08-11,37725.98
2020-08-12,37710.95
2020-08-13,37900.97
2020-08-14,37549.22
2020-08-17,37674.62
2020-08-18,38111.53
2020-08-19,38169.44
2020-08-20,38139.41
2020-08-21,38257.68
2020-08-24,38263.18
2020-08-25,38297.24
2020-08-26,38321.24
2020-08-27,38482.36
2020-08-28,38603.63
2020-08-31,36957.75
2020-09-01,37396.90
2020-09-02,37817.22
2020-09-03,38046.23
2020-09-04,37345.36
2020-09-07,37222.05
2020-09-08,36969.55
2020-09-09,36907.99
2020-09-10,37266.64
2020-09-11,37597.52
2020-09-14,37552.68
2020-09-15,37913.09
2020-09-16,38092.58
2020-09-17,37881.62
2020-09-18,37973.42
2020-09-21,36762.24
2020-09-22,36329.82
2020-09-23,36236.78
2020-09-24,35418.86
2020-09-25,36385.22
2020-09-28,37202.87
2020-09-29,37030.69
2020-09-30,37262.59
2020-10-01,37561.31
2020-10-05,37658.26
2020-10-06,37798.87
2020-10-07,37704.67
2020-10-08,37889.41
2020-10-09,37780.93
2020-10-12,37625.28
2020-10-13,37468.71
2020-10-14,37743.95
2020-10-15,37107.98
2020-10-16,37430.03
2020-10-19,37738.81
2020-10-20,37814.97
2020-10-21,37726.32
2020-10-22,37699.58
2020-10-23,37811.57
2020-10-26,37301.42
2020-10-27,37855.52
2020-10-28,37544.04
2020-10-29,37723.31
2020-10-30,37710.72
2020-11-02,37843.84
2020-11-03,38062.48
2020-11-04,38317.34
2020-11-05,38940.00
2020-11-06,39078.57
2020-11-09,39645.61
2020-11-10,39371.77
2020-11-11,39835.05
2020-11-12,40069.87
2020-11-13,40433.43
2020-11-14,40617.04
2020-11-17,40956.37
2020-11-18,41100.97
2020-11-19,40809.67
